Make,Model,Year,Mileage,Color,Automatic Transmission_Yes,Air Conditioner_Yes,Power Steering_Yes,Remote Control_Yes,Price
59,739,2024,300.0,9,1.0,1.0,1.0,1.0,2800000.0
17,158,2022,86000.0,3,1.0,1.0,1.0,1.0,954512.3051434528
32,790,2021,131000.0,18,1.0,1.0,1.0,1.0,1200000.0
47,806,2021,125000.0,1,1.0,1.0,1.0,1.0,2050000.0
5,843,2018,84000.0,13,1.0,1.0,1.0,1.0,2050000.0
18,619,2021,75000.0,2,1.0,1.0,1.0,1.0,700000.0
17,158,2021,25000.0,21,0.0,0.0,0.0,0.0,700000.0
59,739,2022,33000.0,2,1.0,1.0,1.0,1.0,1950000.0
47,823,2014,238000.0,1,0.0,1.0,1.0,1.0,400000.0
33,395,2018,99000.0,4,1.0,1.0,1.0,1.0,870000.0
76,789,2011,262000.0,21,0.0,0.0,0.0,0.0,575000.0
75,534,2014,180000.0,21,1.0,0.0,0.0,0.0,640000.0
77,460,2022,98000.0,1,1.0,1.0,1.0,1.0,1900000.0
76,744,2022,67000.0,20,1.0,1.0,1.0,1.0,830000.0
32,808,2001,180000.0,22,0.0,0.0,0.0,0.0,150000.0
59,737,2002,253000.0,13,1.0,0.0,0.0,0.0,325000.0
96,274,2008,199000.0,1,0.0,0.0,0.0,0.0,650000.0
50,496,2021,240000.0,22,1.0,0.0,0.0,0.0,900000.0
86,521,2023,150476.22754452928,9,1.0,1.0,1.0,1.0,3000000.0
68,82,2022,48000.0,1,1.0,1.0,1.0,1.0,1170000.0
47,823,2010,175000.0,22,0.0,0.0,1.0,1.0,285000.0
18,536,2011,150476.22754452928,10,0.0,0.0,0.0,0.0,954512.3051434528
96,274,2021,82500.0,1,1.0,1.0,1.0,1.0,1500000.0
76,744,2022,150000.0,22,1.0,1.0,1.0,1.0,650000.0
18,619,2022,85000.0,20,1.0,0.0,0.0,0.0,90000.0
86,610,2003,200000.0,1,1.0,0.0,0.0,0.0,430000.0
23,608,2004,198000.0,7,1.0,1.0,1.0,1.0,280000.0
9,378,2009,150476.22754452928,21,0.0,1.0,0.0,1.0,954512.3051434528
59,721,2000,250000.0,21,0.0,1.0,0.0,1.0,240000.0
16,182,2016,37000.0,20,1.0,1.0,0.0,0.0,300000.0
77,160,2020,96500.0,21,0.0,0.0,0.0,0.0,1000000.0
17,780,2022,70000.0,9,1.0,1.0,1.0,1.0,950000.0
73,321,2010,145000.0,9,1.0,1.0,1.0,1.0,1650000.0
59,398,2010,100000.0,15,0.0,0.0,0.0,0.0,800000.0
52,544,2006,300000.0,21,1.0,1.0,1.0,0.0,660000.0
24,457,2009,220000.0,1,0.0,0.0,0.0,0.0,680000.0
60,20,1500,63000.0,4,0.0,0.0,0.0,0.0,340000.0
20,211,2008,170000.0,1,1.0,1.0,1.0,1.0,550000.0
12,376,2020,149000.0,9,0.0,1.0,1.0,1.0,480000.0
82,549,2019,62000.0,4,1.0,1.0,1.0,1.0,620000.0
45,146,2022,150476.22754452928,18,1.0,1.0,1.0,1.0,2450000.0
59,247,2011,140000.0,21,1.0,1.0,0.0,0.0,630000.0
52,679,2017,150000.0,22,1.0,1.0,1.0,1.0,1100000.0
47,823,2012,300000.0,9,0.0,1.0,1.0,1.0,380000.0
73,316,2020,87000.0,1,1.0,1.0,1.0,1.0,3800000.0
68,883,2022,48000.0,22,1.0,1.0,1.0,1.0,1175000.0
73,193,2002,320000.0,22,1.0,1.0,0.0,1.0,735000.0
59,739,2021,55000.0,1,1.0,1.0,1.0,1.0,1800000.0
76,744,2019,85000.0,21,1.0,1.0,1.0,1.0,650000.0
32,649,2010,168000.0,1,0.0,0.0,0.0,0.0,510000.0
77,160,2019,29000.0,20,1.0,1.0,1.0,1.0,1000200.0
32,14,1999,100000.0,2,0.0,0.0,0.0,0.0,89000.0
84,487,2023,27000.0,1,1.0,1.0,1.0,1.0,1950000.0
12,376,2021,165000.0,20,0.0,1.0,1.0,1.0,550000.0
75,533,2016,157000.0,1,0.0,0.0,0.0,0.0,780000.0
52,252,2010,165000.0,3,0.0,0.0,0.0,0.0,950000.0
17,782,2021,30000.0,18,0.0,0.0,0.0,0.0,1300000.0
23,608,2005,220000.0,20,1.0,1.0,1.0,1.0,310000.0
23,529,2003,176000.0,1,0.0,0.0,0.0,0.0,380000.0
100,760,2019,35000.0,22,1.0,1.0,1.0,1.0,1000000.0
100,86,5008,24000.0,22,1.0,1.0,1.0,1.0,950000.0
82,392,2013,230000.0,13,1.0,0.0,0.0,0.0,495000.0
47,167,2011,78000.0,21,1.0,1.0,1.0,0.0,530000.0
93,254,2022,45000.0,4,1.0,1.0,1.0,1.0,1085000.0
18,619,2018,69000.0,21,1.0,1.0,1.0,1.0,550000.0
82,515,2020,75000.0,2,1.0,1.0,1.0,1.0,1070000.0
18,619,2016,300000.0,21,1.0,1.0,1.0,1.0,520000.0
96,274,1995,200000.0,22,0.0,0.0,0.0,0.0,300000.0
97,442,2011,170000.0,21,0.0,0.0,0.0,0.0,580000.0
59,247,2018,47000.0,22,1.0,0.0,0.0,1.0,1200000.0
90,136,2013,155000.0,1,1.0,1.0,1.0,1.0,395000.0
47,823,2017,124000.0,20,0.0,0.0,1.0,1.0,415000.0
32,87,2015,100000.0,22,0.0,0.0,0.0,0.0,800000.0
50,696,2018,120000.0,1,1.0,0.0,0.0,0.0,954512.3051434528
96,274,2019,87000.0,22,1.0,1.0,1.0,1.0,1330000.0
73,192,2002,230000.0,7,1.0,1.0,1.0,1.0,630000.0
86,610,2004,300000.0,7,1.0,1.0,1.0,1.0,445000.0
47,348,2017,72000.0,21,1.0,0.0,0.0,0.0,950000.0
90,124,2010,52000.0,21,0.0,0.0,0.0,0.0,350000.0
59,247,2008,185000.0,21,1.0,1.0,1.0,1.0,500000.0
82,515,2020,34000.0,2,1.0,1.0,1.0,1.0,1290000.0
52,252,2010,211000.0,1,0.0,0.0,0.0,0.0,850000.0
68,883,2022,25400.0,1,1.0,1.0,1.0,1.0,1325000.0
85,122,2015,200000.0,2,0.0,0.0,0.0,0.0,370000.0
76,744,2002,190000.0,12,0.0,0.0,0.0,0.0,360000.0
52,544,2002,290000.0,1,0.0,0.0,0.0,0.0,440000.0
50,500,2022,30000.0,20,1.0,1.0,1.0,1.0,1100000.0
47,806,2019,120000.0,21,0.0,0.0,0.0,0.0,1900000.0
96,274,2019,91000.0,22,1.0,1.0,1.0,1.0,970000.0
96,274,2018,120000.0,22,1.0,0.0,0.0,1.0,1100000.0
47,348,2017,72000.0,21,1.0,0.0,0.0,0.0,950000.0
90,124,2010,52000.0,21,0.0,0.0,0.0,0.0,350000.0
59,247,2008,185000.0,21,1.0,1.0,1.0,1.0,500000.0
9,379,2010,273000.0,20,0.0,1.0,1.0,1.0,360000.0
96,274,2022,150476.22754452928,22,1.0,1.0,1.0,1.0,2050000.0
82,392,2013,113000.0,1,1.0,1.0,1.0,1.0,600000.0
79,57,2014,137000.0,9,1.0,1.0,1.0,1.0,550000.0
9,840,2019,70000.0,22,0.0,0.0,0.0,0.0,400000.0
86,613,2022,30000.0,1,1.0,1.0,1.0,1.0,2200000.0
68,99,2022,22000.0,22,1.0,1.0,1.0,1.0,1500000.0
96,274,2008,200000.0,22,0.0,0.0,0.0,0.0,650000.0
86,613,2024,7000.0,1,0.0,0.0,0.0,0.0,3900000.0
79,74,2007,143000.0,9,0.0,0.0,0.0,0.0,190000.0
18,619,2009,370000.0,2,0.0,1.0,1.0,1.0,365000.0
90,136,2009,147000.0,9,1.0,1.0,1.0,1.0,335000.0
18,619,2014,189000.0,22,1.0,1.0,1.0,1.0,515000.0
73,28,1985,100000.0,14,1.0,0.0,0.0,0.0,300000.0
68,82,2020,90000.0,1,1.0,1.0,1.0,1.0,640000.0
90,136,2008,195000.0,1,1.0,1.0,1.0,0.0,325000.0
90,136,2007,142000.0,21,1.0,1.0,1.0,0.0,315000.0
32,790,2021,49800.0,13,1.0,1.0,1.0,1.0,1100000.0
79,57,2016,97000.0,4,1.0,0.0,0.0,0.0,650000.0
79,57,2018,37000.0,3,1.0,0.0,0.0,1.0,785000.0
75,533,2016,185000.0,21,0.0,0.0,0.0,0.0,800000.0
18,619,2006,280000.0,22,0.0,0.0,0.0,0.0,425000.0
77,160,2012,70000.0,2,0.0,0.0,0.0,0.0,725000.0
75,531,2016,140000.0,1,1.0,1.0,1.0,1.0,800000.0
75,534,2008,213000.0,21,1.0,1.0,1.0,1.0,530000.0
49,289,2023,40000.0,9,0.0,0.0,0.0,0.0,2000000.0
68,883,2021,95000.0,20,1.0,1.0,1.0,1.0,950000.0
38,357,2019,35000.0,22,1.0,1.0,1.0,1.0,960000.0
83,646,2014,108000.0,13,0.0,0.0,0.0,0.0,270000.0
17,158,2021,106000.0,22,0.0,1.0,1.0,1.0,565000.0
47,145,2017,130000.0,1,1.0,1.0,1.0,1.0,680000.0
75,533,2014,150000.0,10,0.0,0.0,0.0,0.0,770000.0
76,744,2020,190000.0,1,1.0,1.0,1.0,1.0,600000.0
73,192,2024,150476.22754452928,22,0.0,0.0,0.0,0.0,4900000.0
18,287,2013,170000.0,11,1.0,1.0,1.0,1.0,535000.0
86,381,2012,220000.0,21,0.0,0.0,0.0,0.0,330000.0
59,680,2013,185000.0,1,1.0,1.0,1.0,0.0,600000.0
68,82,2021,65000.0,1,1.0,1.0,1.0,1.0,950000.0
97,629,2002,400000.0,6,0.0,1.0,0.0,1.0,328000.0
79,75,2001,186000.0,12,1.0,1.0,0.0,1.0,295000.0
17,782,2021,33000.0,13,1.0,1.0,1.0,1.0,1200000.0
93,570,2011,53000.0,21,0.0,0.0,0.0,0.0,195000.0
14,654,2018,183000.0,3,1.0,1.0,1.0,1.0,680000.0
50,498,2021,48000.0,22,1.0,1.0,1.0,0.0,1050000.0
73,193,2009,220000.0,21,1.0,1.0,1.0,1.0,1150000.0
49,289,2010,150476.22754452928,22,0.0,0.0,0.0,0.0,680000.0
77,160,2021,15000.0,1,1.0,1.0,1.0,1.0,1250000.0
96,274,2003,200000.0,21,1.0,1.0,1.0,1.0,550000.0
76,744,2013,127000.0,1,0.0,0.0,0.0,0.0,400000.0
16,182,2016,41000.0,20,1.0,1.0,1.0,0.0,380000.0
32,14,1988,63000.0,18,0.0,0.0,0.0,0.0,56000.0
59,733,2013,120000.0,22,1.0,1.0,1.0,1.0,800000.0
59,247,2014,125000.0,22,1.0,1.0,0.0,1.0,900000.0
59,680,2017,66000.0,18,1.0,0.0,0.0,0.0,520000.0
47,351,2019,134000.0,18,1.0,1.0,1.0,1.0,850000.0
18,536,2017,435000.0,9,0.0,1.0,1.0,1.0,420000.0
96,274,2008,120000.0,1,1.0,0.0,0.0,0.0,565000.0
18,598,2023,150476.22754452928,22,0.0,1.0,0.0,1.0,710000.0
47,352,2012,145000.0,1,0.0,0.0,0.0,0.0,750000.0
4,137,2022,36000.0,1,1.0,1.0,1.0,1.0,2000000.0
47,435,2010,131000.0,20,1.0,1.0,1.0,1.0,485000.0
96,274,2023,150476.22754452928,21,1.0,1.0,1.0,1.0,1700000.0
47,352,2012,135000.0,21,1.0,1.0,1.0,1.0,735000.0
82,311,2018,100000.0,12,0.0,0.0,0.0,0.0,900000.0
59,737,2003,260000.0,1,0.0,0.0,0.0,0.0,340000.0
47,372,1996,258000.0,10,0.0,1.0,1.0,1.0,210000.0
23,537,2003,128000.0,21,0.0,0.0,1.0,0.0,310000.0
18,287,2013,30000.0,1,1.0,1.0,1.0,1.0,560000.0
33,346,2019,28000.0,5,1.0,1.0,1.0,1.0,650000.0
